user_name,repo_name,star,repo_url
aspnetboilerplate,aspnetboilerplate,9600,https://github.com//aspnetboilerplate/aspnetboilerplate
dotnet,AspNetCore.Docs,9000,https://github.com//dotnet/AspNetCore.Docs
bitwarden,server,7800,https://github.com//bitwarden/server
ElectronNET,Electron.NET,5700,https://github.com//ElectronNET/Electron.NET
RicoSuter,NSwag,4300,https://github.com//RicoSuter/NSwag
thangchung,clean-code-dotnet,3800,https://github.com//thangchung/clean-code-dotnet
JimBobSquarePants,ImageProcessor,2400,https://github.com//JimBobSquarePants/ImageProcessor
smartstore,SmartStoreNET,2200,https://github.com//smartstore/SmartStoreNET
microsoft,aspnet-api-versioning,2000,https://github.com//microsoft/aspnet-api-versioning
loic-sharma,BaGet,1600,https://github.com//loic-sharma/BaGet
TrilonIO,aspnetcore-angular-universal,1400,https://github.com//TrilonIO/aspnetcore-angular-universal
TrilonIO,aspnetcore-Vue-starter,1200,https://github.com//TrilonIO/aspnetcore-Vue-starter
lampo1024,DncZeus,1100,https://github.com//lampo1024/DncZeus
mjebrahimi,Awesome-Microservices-NetCore,1100,https://github.com//mjebrahimi/Awesome-Microservices-NetCore
MarimerLLC,csla,889,https://github.com//MarimerLLC/csla
riganti,dotvvm,534,https://github.com//riganti/dotvvm
cornflourblue,aspnet-core-3-jwt-authentication-api,480,https://github.com//cornflourblue/aspnet-core-3-jwt-authentication-api
chsakell,mvcarchitecture,433,https://github.com//chsakell/mvcarchitecture
antonioCoco,SharPyShell,425,https://github.com//antonioCoco/SharPyShell
brthor,Gofer.NET,390,https://github.com//brthor/Gofer.NET
Maarten88,rrod,369,https://github.com//Maarten88/rrod
YAFNET,YAFNET,368,https://github.com//YAFNET/YAFNET
SapphireDb,SapphireDb,334,https://github.com//SapphireDb/SapphireDb
Taritsyn,WebMarkupMin,318,https://github.com//Taritsyn/WebMarkupMin
cornflourblue,aspnet-core-jwt-authentication-api,274,https://github.com//cornflourblue/aspnet-core-jwt-authentication-api
IvanJosipovic,BlazorTable,273,https://github.com//IvanJosipovic/BlazorTable
EEParker,aspnetcore-vueclimiddleware,263,https://github.com//EEParker/aspnetcore-vueclimiddleware
chsakell,aspnet-core-identity,241,https://github.com//chsakell/aspnet-core-identity
grandchamp,Identity.Dapper,240,https://github.com//grandchamp/Identity.Dapper
ElectronNET,electron.net-api-demos,238,https://github.com//ElectronNET/electron.net-api-demos
