user_name,repo_name,star,repo_url
amphp,amp,3200,https://github.com//amphp/amp
danog,MadelineProto,1500,https://github.com//danog/MadelineProto
amphp,http-server,1100,https://github.com//amphp/http-server
unreal4u,telegram-api,654,https://github.com//unreal4u/telegram-api
amphp,http-client,564,https://github.com//amphp/http-client
amphp,parallel,492,https://github.com//amphp/parallel
php-service-bus,service-bus,293,https://github.com//php-service-bus/service-bus
amphp,mysql,239,https://github.com//amphp/mysql
amphp,byte-stream,223,https://github.com//amphp/byte-stream
amphp,parallel-functions,184,https://github.com//amphp/parallel-functions
amphp,process,130,https://github.com//amphp/process
amphp,socket,130,https://github.com//amphp/socket
amphp,redis,111,https://github.com//amphp/redis
kelunik,acme,103,https://github.com//kelunik/acme
PeeHaa,mailgrab,91,https://github.com//PeeHaa/mailgrab
amphp,dns,90,https://github.com//amphp/dns
amphp,websocket-client,85,https://github.com//amphp/websocket-client
amphp,sync,74,https://github.com//amphp/sync
jolicode,asynit,67,https://github.com//jolicode/asynit
amphp,websocket-server,62,https://github.com//amphp/websocket-server
amphp,postgres,56,https://github.com//amphp/postgres
amphp,cache,53,https://github.com//amphp/cache
amphp,beanstalk,52,https://github.com//amphp/beanstalk
amphp,file,51,https://github.com//amphp/file
amphp,windows-registry,49,https://github.com//amphp/windows-registry
amphp,hpack,47,https://github.com//amphp/hpack
amphp,serialization,44,https://github.com//amphp/serialization
phpinnacle,ridge,41,https://github.com//phpinnacle/ridge
Room-11,Jeeves,41,https://github.com//Room-11/Jeeves
amphp,aerys,40,https://github.com//amphp/aerys
