user_name,repo_name,star,repo_url
flutter,flutter,121000,https://github.com//flutter/flutter
justjavac,free-programming-books-zh_CN,79800,https://github.com//justjavac/free-programming-books-zh_CN
Genymobile,scrcpy,48700,https://github.com//Genymobile/scrcpy
Hack-with-Github,Awesome-Hacking,44200,https://github.com//Hack-with-Github/Awesome-Hacking
google,material-design-icons,42900,https://github.com//google/material-design-icons
wasabeef,awesome-android-ui,40500,https://github.com//wasabeef/awesome-android-ui
square,okhttp,40000,https://github.com//square/okhttp
android,architecture-samples,38700,https://github.com//android/architecture-samples
square,retrofit,38100,https://github.com//square/retrofit
Solido,awesome-flutter,35600,https://github.com//Solido/awesome-flutter
PhilJay,MPAndroidChart,33300,https://github.com//PhilJay/MPAndroidChart
fastlane,fastlane,31800,https://github.com//fastlane/fastlane
shadowsocks,shadowsocks-android,31400,https://github.com//shadowsocks/shadowsocks-android
bumptech,glide,31200,https://github.com//bumptech/glide
airbnb,lottie-android,31100,https://github.com//airbnb/lottie-android
Trinea,android-open-project,30600,https://github.com//Trinea/android-open-project
Blankj,AndroidUtilCode,29300,https://github.com//Blankj/AndroidUtilCode
xitu,gold-miner,28900,https://github.com//xitu/gold-miner
bilibili,ijkplayer,28800,https://github.com//bilibili/ijkplayer
zxing,zxing,27700,https://github.com//zxing/zxing
codepath,android_guides,27400,https://github.com//codepath/android_guides
square,leakcanary,26200,https://github.com//square/leakcanary
skylot,jadx,26000,https://github.com//skylot/jadx
alibaba,fastjson,23400,https://github.com//alibaba/fastjson
laurent22,joplin,23200,https://github.com//laurent22/joplin
scwang90,SmartRefreshLayout,22500,https://github.com//scwang90/SmartRefreshLayout
CymChad,BaseRecyclerViewAdapterHelper,21900,https://github.com//CymChad/BaseRecyclerViewAdapterHelper
react-native-elements,react-native-elements,20600,https://github.com//react-native-elements/react-native-elements
NativeScript,NativeScript,20100,https://github.com//NativeScript/NativeScript
futurice,android-best-practices,19700,https://github.com//futurice/android-best-practices
