user_name,repo_name,star,repo_url
justjavac,free-programming-books-zh_CN,79800,https://github.com//justjavac/free-programming-books-zh_CN
angular,angular,73200,https://github.com//angular/angular
storybookjs,storybook,61800,https://github.com//storybookjs/storybook
ionic-team,ionic-framework,44200,https://github.com//ionic-team/ionic-framework
leonardomso,33-js-concepts,39900,https://github.com//leonardomso/33-js-concepts
prettier,prettier,39700,https://github.com//prettier/prettier
SheetJS,sheetjs,25600,https://github.com//SheetJS/sheetjs
angular,angular-cli,24500,https://github.com//angular/angular-cli
angular,components,21400,https://github.com//angular/components
NativeScript,NativeScript,20100,https://github.com//NativeScript/NativeScript
jhipster,generator-jhipster,18400,https://github.com//jhipster/generator-jhipster
Eugeny,terminus,17800,https://github.com//Eugeny/terminus
handsontable,handsontable,15200,https://github.com//handsontable/handsontable
sweetalert2,sweetalert2,12900,https://github.com//sweetalert2/sweetalert2
linnovate,mean,12100,https://github.com//linnovate/mean
goldbergyoni,javascript-testing-best-practices,11300,https://github.com//goldbergyoni/javascript-testing-best-practices
coreui,coreui-free-bootstrap-admin-template,10800,https://github.com//coreui/coreui-free-bootstrap-admin-template
codesandbox,codesandbox-client,10600,https://github.com//codesandbox/codesandbox-client
PatrickJS,angular-starter,10400,https://github.com//PatrickJS/angular-starter
Chocobozzz,PeerTube,9300,https://github.com//Chocobozzz/PeerTube
angular,protractor,8700,https://github.com//angular/protractor
OnsenUI,OnsenUI,8300,https://github.com//OnsenUI/OnsenUI
text-mask,text-mask,8000,https://github.com//text-mask/text-mask
PatrickJS,awesome-angular,7900,https://github.com//PatrickJS/awesome-angular
ng-bootstrap,ng-bootstrap,7800,https://github.com//ng-bootstrap/ng-bootstrap
NG-ZORRO,ng-zorro-antd,7500,https://github.com//NG-ZORRO/ng-zorro-antd
nrwl,nx,7200,https://github.com//nrwl/nx
ag-grid,ag-grid,7200,https://github.com//ag-grid/ag-grid
rematch,rematch,7200,https://github.com//rematch/rematch
akveo,nebular,7100,https://github.com//akveo/nebular
