user_name,repo_name,star,repo_url
ramitsurana,awesome-kubernetes,11600,https://github.com//ramitsurana/awesome-kubernetes
Azure,azure-quickstart-templates,10400,https://github.com//Azure/azure-quickstart-templates
microsoft,recommenders,9700,https://github.com//microsoft/recommenders
pulumi,pulumi,8600,https://github.com//pulumi/pulumi
bregman-arie,devops-exercises,8400,https://github.com//bregman-arie/devops-exercises
google,go-cloud,7700,https://github.com//google/go-cloud
microsoft,computervision-recipes,7700,https://github.com//microsoft/computervision-recipes
mozilla,sops,7500,https://github.com//mozilla/sops
caprover,caprover,7100,https://github.com//caprover/caprover
microsoft,azuredatastudio,6300,https://github.com//microsoft/azuredatastudio
node-formidable,formidable,5900,https://github.com//node-formidable/formidable
midwayjs,midway,4200,https://github.com//midwayjs/midway
thangchung,clean-code-dotnet,3800,https://github.com//thangchung/clean-code-dotnet
cloud-custodian,cloud-custodian,3600,https://github.com//cloud-custodian/cloud-custodian
budtmo,docker-android,3400,https://github.com//budtmo/docker-android
simov,grant,3300,https://github.com//simov/grant
nccgroup,ScoutSuite,3200,https://github.com//nccgroup/ScoutSuite
infracost,infracost,3000,https://github.com//infracost/infracost
Qovery,engine,3000,https://github.com//Qovery/engine
tfsec,tfsec,2700,https://github.com//tfsec/tfsec
bridgecrewio,checkov,2700,https://github.com//bridgecrewio/checkov
Azure,azure-powershell,2600,https://github.com//Azure/azure-powershell
mlabouardy,komiser,2600,https://github.com//mlabouardy/komiser
terraform-providers,terraform-provider-azurerm,2600,https://github.com//terraform-providers/terraform-provider-azurerm
Azure,azure-cli,2400,https://github.com//Azure/azure-cli
APIs-guru,openapi-directory,2400,https://github.com//APIs-guru/openapi-directory
Azure,azure-sdk-for-net,2400,https://github.com//Azure/azure-sdk-for-net
Azure,mmlspark,2300,https://github.com//Azure/mmlspark
Azure,MachineLearningNotebooks,2300,https://github.com//Azure/MachineLearningNotebooks
smartstore,SmartStoreNET,2200,https://github.com//smartstore/SmartStoreNET
