user_name,repo_name,star,repo_url
bitcoin,bitcoin,53800,https://github.com//bitcoin/bitcoin
ccxt,ccxt,19500,https://github.com//ccxt/ccxt
HelloZeroNet,ZeroNet,16800,https://github.com//HelloZeroNet/ZeroNet
askmike,gekko,9700,https://github.com//askmike/gekko
freqtrade,freqtrade,8400,https://github.com//freqtrade/freqtrade
bbfamily,abu,7900,https://github.com//bbfamily/abu
lbryio,lbry-sdk,7200,https://github.com//lbryio/lbry-sdk
dvf,blockchain,5700,https://github.com//dvf/blockchain
yeasy,blockchain_guide,5600,https://github.com//yeasy/blockchain_guide
butor,blackbird,5300,https://github.com//butor/blackbird
lightningnetwork,lnd,5000,https://github.com//lightningnetwork/lnd
spesmilo,electrum,4900,https://github.com//spesmilo/electrum
btcsuite,btcd,4300,https://github.com//btcsuite/btcd
bitcoinjs,bitcoinjs-lib,4200,https://github.com//bitcoinjs/bitcoinjs-lib
bitcoinj,bitcoinj,4000,https://github.com//bitcoinj/bitcoinj
bisq-network,bisq,3600,https://github.com//bisq-network/bisq
michaelgrosner,tribeca,3500,https://github.com//michaelgrosner/tribeca
Scanate,EthList,3400,https://github.com//Scanate/EthList
Zheaoli,awesome-coins,3300,https://github.com//Zheaoli/awesome-coins
RomelTorres,alpha_vantage,3300,https://github.com//RomelTorres/alpha_vantage
coinpride,CryptoList,3200,https://github.com//coinpride/CryptoList
SqueezerIO,squeezer,3200,https://github.com//SqueezerIO/squeezer
bitpay,wallet,3200,https://github.com//bitpay/wallet
CryptoSignal,Crypto-Signal,3000,https://github.com//CryptoSignal/Crypto-Signal
Jeiwan,blockchain_go,2900,https://github.com//Jeiwan/blockchain_go
lbryio,lbrycrd,2800,https://github.com//lbryio/lbrycrd
btcpayserver,btcpayserver,2700,https://github.com//btcpayserver/btcpayserver
bcoin-org,bcoin,2500,https://github.com//bcoin-org/bcoin
jesse-ai,jesse,2500,https://github.com//jesse-ai/jesse
bitcoin-wallet,bitcoin-wallet,2400,https://github.com//bitcoin-wallet/bitcoin-wallet
