user_name,repo_name,star,repo_url
ccxt,ccxt,19500,https://github.com//ccxt/ccxt
hubotio,hubot,15900,https://github.com//hubotio/hubot
python-telegram-bot,python-telegram-bot,14800,https://github.com//python-telegram-bot/python-telegram-bot
timgrossmann,InstaPy,12800,https://github.com//timgrossmann/InstaPy
discordjs,discord.js,11500,https://github.com//discordjs/discord.js
RasaHQ,rasa,11300,https://github.com//RasaHQ/rasa
gunthercox,ChatterBot,11100,https://github.com//gunthercox/ChatterBot
howdyai,botkit,10300,https://github.com//howdyai/botkit
botpress,botpress,9200,https://github.com//botpress/botpress
sfyc23,EverydayWechat,8200,https://github.com//sfyc23/EverydayWechat
leon-ai,leon,7500,https://github.com//leon-ai/leon
EZFNDEV,EZFN-Lobbybot,6900,https://github.com//EZFNDEV/EZFN-Lobbybot
microsoft,botframework-sdk,6500,https://github.com//microsoft/botframework-sdk
microsoft,ailab,6400,https://github.com//microsoft/ailab
maxbbraun,trump2cash,6000,https://github.com//maxbbraun/trump2cash
botman,botman,5400,https://github.com//botman/botman
yagop,node-telegram-bot-api,5300,https://github.com//yagop/node-telegram-bot-api
deepmipt,DeepPavlov,5200,https://github.com//deepmipt/DeepPavlov
tgbot-collection,YYeTsBot,4700,https://github.com//tgbot-collection/YYeTsBot
telegraf,telegraf,4600,https://github.com//telegraf/telegraf
axa-group,nlp.js,4400,https://github.com//axa-group/nlp.js
jef,streetmerchant,4100,https://github.com//jef/streetmerchant
ohld,igbot,3900,https://github.com//ohld/igbot
PokemonGoF,PokemonGo-Bot,3700,https://github.com//PokemonGoF/PokemonGo-Bot
Yoctol,bottender,3600,https://github.com//Yoctol/bottender
snipsco,snips-nlu,3500,https://github.com//snipsco/snips-nlu
goq,telegram-list,3100,https://github.com//goq/telegram-list
orkestral,venom,2700,https://github.com//orkestral/venom
botui,botui,2600,https://github.com//botui/botui
jesse-ai,jesse,2500,https://github.com//jesse-ai/jesse
