user_name,repo_name,star,repo_url
CyC2018,CS-Notes,129000,https://github.com//CyC2018/CS-Notes
tuvtran,project-based-learning,49900,https://github.com//tuvtran/project-based-learning
azl397985856,leetcode,42000,https://github.com//azl397985856/leetcode
x64dbg,x64dbg,36800,https://github.com//x64dbg/x64dbg
fffaraz,awesome-cpp,31400,https://github.com//fffaraz/awesome-cpp
microsoft,calculator,22000,https://github.com//microsoft/calculator
CMU-Perceptual-Computing-Lab,openpose,20900,https://github.com//CMU-Perceptual-Computing-Lab/openpose
huihut,interview,18600,https://github.com//huihut/interview
yuzu-emu,yuzu,14700,https://github.com//yuzu-emu/yuzu
changkun,modern-cpp-tutorial,13300,https://github.com//changkun/modern-cpp-tutorial
TheAlgorithms,C-Plus-Plus,12800,https://github.com//TheAlgorithms/C-Plus-Plus
microsoft,vcpkg,12800,https://github.com//microsoft/vcpkg
facebook,infer,12300,https://github.com//facebook/infer
AnthonyCalandra,modern-cpp-features,11800,https://github.com//AnthonyCalandra/modern-cpp-features
gabime,spdlog,11600,https://github.com//gabime/spdlog
CoatiSoftware,Sourcetrail,11400,https://github.com//CoatiSoftware/Sourcetrail
google,tink,11300,https://github.com//google/tink
ssloy,tinyrenderer,10700,https://github.com//ssloy/tinyrenderer
Qv2ray,Qv2ray,10500,https://github.com//Qv2ray/Qv2ray
ethereum,solidity,10300,https://github.com//ethereum/solidity
SFTtech,openage,10300,https://github.com//SFTtech/openage
antlr,antlr4,9900,https://github.com//antlr/antlr4
OpenRCT2,OpenRCT2,9500,https://github.com//OpenRCT2/OpenRCT2
kyleneideck,BackgroundMusic,9500,https://github.com//kyleneideck/BackgroundMusic
youngyangyang04,leetcode-master,9300,https://github.com//youngyangyang04/leetcode-master
compiler-explorer,compiler-explorer,8600,https://github.com//compiler-explorer/compiler-explorer
hmemcpy,milewski-ctfp-pdf,8400,https://github.com//hmemcpy/milewski-ctfp-pdf
codota,TabNine,8200,https://github.com//codota/TabNine
nasa,fprime,8100,https://github.com//nasa/fprime
rigtorp,awesome-modern-cpp,7900,https://github.com//rigtorp/awesome-modern-cpp
