user_name,repo_name,star,repo_url
ovity,octotree,21300,https://github.com//ovity/octotree
danger,danger,4400,https://github.com//danger/danger
gitpod-io,gitpod,3900,https://github.com//gitpod-io/gitpod
danger,danger-js,3800,https://github.com//danger/danger-js
reviewdog,reviewdog,3300,https://github.com//reviewdog/reviewdog
joho,awesome-code-review,2800,https://github.com//joho/awesome-code-review
houndci,hound,1900,https://github.com//houndci/hound
mbj,mutant,1700,https://github.com//mbj/mutant
ajinabraham,nodejsscan,1700,https://github.com//ajinabraham/nodejsscan
microsoft,vscode-pull-request-github,1600,https://github.com//microsoft/vscode-pull-request-github
reviewboard,reviewboard,1300,https://github.com//reviewboard/reviewboard
crev-dev,cargo-crev,1300,https://github.com//crev-dev/cargo-crev
bit4woo,python_sec,944,https://github.com//bit4woo/python_sec
ryanmcdermott,code-review-tips,897,https://github.com//ryanmcdermott/code-review-tips
code-review-checklists,java-concurrency,885,https://github.com//code-review-checklists/java-concurrency
jiangsir404,Audit-Learning,772,https://github.com//jiangsir404/Audit-Learning
TeamCodeStream,codestream,529,https://github.com//TeamCodeStream/codestream
enlightn,enlightn,465,https://github.com//enlightn/enlightn
uwolfer,gerrit-intellij-plugin,410,https://github.com//uwolfer/gerrit-intellij-plugin
palantir,policy-bot,360,https://github.com//palantir/policy-bot
bsamseth,cpp-project,354,https://github.com//bsamseth/cpp-project
mookid,diffr,345,https://github.com//mookid/diffr
sjparkinson,static-review,330,https://github.com//sjparkinson/static-review
dpnishant,raptor,318,https://github.com//dpnishant/raptor
burrito-brothers,shiba,280,https://github.com//burrito-brothers/shiba
mgreiler,code-review-checklist,259,https://github.com//mgreiler/code-review-checklist
charignon,github-review,219,https://github.com//charignon/github-review
src-d,lookout,141,https://github.com//src-d/lookout
uwolfer,gerrit-rest-java-client,134,https://github.com//uwolfer/gerrit-rest-java-client
thesp0nge,owasp-orizon,132,https://github.com//thesp0nge/owasp-orizon
