user_name,repo_name,star,repo_url
httpie,httpie,50800,https://github.com//httpie/httpie
junegunn,fzf,36700,https://github.com//junegunn/fzf
sharkdp,bat,27100,https://github.com//sharkdp/bat
wagoodman,dive,26200,https://github.com//wagoodman/dive
sherlock-project,sherlock,25100,https://github.com//sherlock-project/sherlock
BurntSushi,ripgrep,25100,https://github.com//BurntSushi/ripgrep
angular,angular-cli,24500,https://github.com//angular/angular-cli
chubin,cheat.sh,24300,https://github.com//chubin/cheat.sh
cli,cli,23400,https://github.com//cli/cli
spf13,cobra,21500,https://github.com//spf13/cobra
alebcay,awesome-shell,21400,https://github.com//alebcay/awesome-shell
jesseduffield,lazygit,19900,https://github.com//jesseduffield/lazygit
google,python-fire,19100,https://github.com//google/python-fire
avajs,ava,19000,https://github.com//avajs/ava
tqdm,tqdm,18300,https://github.com//tqdm/tqdm
vercel,pkg,18100,https://github.com//vercel/pkg
sharkdp,fd,17300,https://github.com//sharkdp/fd
chalk,chalk,16400,https://github.com//chalk/chalk
vadimdemedes,ink,16200,https://github.com//vadimdemedes/ink
svg,svgo,16100,https://github.com//svg/svgo
urfave,cli,15800,https://github.com//urfave/cli
gpakosz,.tmux,14000,https://github.com//gpakosz/.tmux
n8n-io,n8n,13900,https://github.com//n8n-io/n8n
FormidableLabs,webpack-dashboard,13800,https://github.com//FormidableLabs/webpack-dashboard
allinurl,goaccess,13200,https://github.com//allinurl/goaccess
pomber,git-history,12500,https://github.com//pomber/git-history
infinitered,ignite,12500,https://github.com//infinitered/ignite
jarun,nnn,11400,https://github.com//jarun/nnn
pallets,click,10900,https://github.com//pallets/click
asdf-vm,asdf,10800,https://github.com//asdf-vm/asdf
