user_name,repo_name,star,repo_url
vercel,next.js,67300,https://github.com//vercel/next.js
webpack,webpack,58200,https://github.com//webpack/webpack
rust-lang,rust,55200,https://github.com//rust-lang/rust
gatsbyjs,gatsby,50300,https://github.com//gatsbyjs/gatsby
sveltejs,svelte,47100,https://github.com//sveltejs/svelte
babel,babel,39100,https://github.com//babel/babel
parcel-bundler,parcel,38100,https://github.com//parcel-bundler/parcel
JetBrains,kotlin,36500,https://github.com//JetBrains/kotlin
markedjs,marked,25000,https://github.com//markedjs/marked
evanw,esbuild,24500,https://github.com//evanw/esbuild
vlang,v,23800,https://github.com//vlang/v
vercel,pkg,18100,https://github.com//vercel/pkg
v8,v8,17600,https://github.com//v8/v8
rome,tools,15700,https://github.com//rome/tools
Konloch,bytecode-viewer,12100,https://github.com//Konloch/bytecode-viewer
swc-project,swc,12000,https://github.com//swc-project/swc
AssemblyScript,assemblyscript,11900,https://github.com//AssemblyScript/assemblyscript
nim-lang,Nim,11300,https://github.com//nim-lang/Nim
gopherjs,gopherjs,10200,https://github.com//gopherjs/gopherjs
ziglang,zig,9200,https://github.com//ziglang/zig
compiler-explorer,compiler-explorer,8600,https://github.com//compiler-explorer/compiler-explorer
JetBrains,kotlin-native,7100,https://github.com//JetBrains/kotlin-native
apache,tvm,6700,https://github.com//apache/tvm
numba,numba,6500,https://github.com//numba/numba
elm,compiler,6400,https://github.com//elm/compiler
aalhour,awesome-compilers,5900,https://github.com//aalhour/awesome-compilers
lebab,lebab,5400,https://github.com//lebab/lebab
rescript-lang,rescript-compiler,5300,https://github.com//rescript-lang/rescript-compiler
DoctorWkt,acwj,5200,https://github.com//DoctorWkt/acwj
lampepfl,dotty,4600,https://github.com//lampepfl/dotty
